7 19 -2.69
7 20 -3.73
8 1 -4.16
8 2 -4.91
8 3 -5.66
8 4 -5.25
8 5 -5.67
8 6 -4.62
8 7 -4.66
8 8 -4.17
8 9 -3.36
8 10 -3.01
8 11 -3.01
8 12 -2.78
8 13 -2.76
8 14 -2.97
8 15 -2.76
8 16 -2.79
8 17 -3.52
8 18 -3.16
8 19 -2.60
8 20 -3.19
9 1 -3.57
9 2 -3.94
9 3 -4.81
9 4 -4.58
9 5 -4.91
9 6 -4.04
9 7 -3.82
9 8 -3.36
9 9 -2.72
9 10 -2.31
9 11 -2.32
9 12 -2.01
9 13 -1.84
9 14 -1.89
9 15 -1.70
9 16 -1.51
9 17 -2.41
9 18 -1.83
9 19 -1.31
9 20 -2.03
10 1 -3.16
10 2 -3.39
10 3 -4.13
10 4 -3.78
10 5 -4.16
10 6 -3.38
10 7 -3.42
10 8 -3.01
10 9 -2.31
10 10 -2.24
10 11 -2.08
10 12 -1.82
10 13 -1.74
10 14 -1.66
10 15 -1.59
10 16 -1.22
10 17 -2.15
10 18 -1.72
10 19 -1.15
10 20 -1.87
11 1 -3.11
11 2 -3.51
11 3 -4.28
11 4 -4.03
11 5 -4.34
11 6 -3.46
11 7 -3.22
11 8 -3.01
11 9 -2.32
11 10 -2.08
11 11 -2.12
11 12 -1.96
11 13 -1.88
11 14 -1.90
11 15 -1.80
11 16 -1.74
11 17 -2.42
11 18 -1.90
11 19 -1.31
11 20 -1.90
12 1 -2.86
12 2 -3.03
12 3 -4.02
12 4 -3.52
12 5 -3.92
12 6 -3.05
12 7 -2.99
12 8 -2.78
12 9 -2.01
12 10 -1.82
12 11 -1.96
12 12 -1.67
12 13 -1.58
12 14 -1.49
12 15 -1.63
12 16 -1.48
12 17 -2.11
12 18 -1.62
12 19 -1.05
12 20 -1.57
13 1 -2.59
13 2 -2.95
13 3 -3.75
13 4 -3.24
13 5 -3.74
13 6 -2.83
13 7 -3.07
13 8 -2.76
13 9 -1.84
13 10 -1.74
13 11 -1.88
13 12 -1.58
13 13 -1.68
13 14 -1.71
13 15 -1.68
13 16 -1.51
13 17 -2.08
13 18 -1.64
13 19 -1.21
13 20 -1.53
14 1 -2.85
14 2 -3.30
14 3 -4.10
14 4 -3.67
14 5 -4.04
14 6 -3.07
14 7 -3.11
14 8 -2.97
14 9 -1.89
14 10 -1.66
14 11 -1.90
14 12 -1.49
14 13 -1.71
14 14 -1.54
14 15 -1.46
14 16 -1.42
14 17 -1.98
14 18 -1.80
14 19 -1.29
14 20 -1.73
15 1 -2.41
15 2 -2.57
15 3 -3.48
15 4 -3.17
15 5 -3.40
15 6 -2.48
15 7 -2.84
15 8 -2.76
15 9 -1.70
15 10 -1.59
15 11 -1.80
15 12 -1.63
15 13 -1.68
15 14 -1.46
15 15 -1.21
15 16 -1.02
15 17 -2.32
15 18 -2.29
15 19 -1.68
15 20 -1.33
16 1 -2.27
16 2 -2.89
16 3 -3.56
16 4 -3.27
16 5 -3.59
16 6 -2.67
16 7 -2.99
16 8 -2.79
16 9 -1.51
16 10 -1.22
16 11 -1.74
16 12 -1.48
16 13 -1.51
16 14 -1.42
16 15 -1.02
16 16 -0.91
16 17 -2.15
16 18 -2.27
16 19 -1.80
16 20 -1.26
17 1 -3.60
17 2 -3.98
17 3 -4.77
17 4 -4.14
17 5 -4.54
17 6 -3.58
17 7 -3.98
17 8 -3.52
17 9 -2.41
17 10 -2.15
17 11 -2.42
17 12 -2.11
17 13 -2.08
17 14 -1.98
17 15 -2.32
17 16 -2.15
17 17 -3.05
17 18 -2.16
17 19 -1.35
17 20 -2.25
18 1 -2.57
18 2 -3.12
18 3 -3.98
18 4 -3.63
18 5 -4.03
18 6 -3.07
18 7 -3.41
18 8 -3.16
18 9 -1.83
18 10 -1.72
18 11 -1.90
18 12 -1.62
18 13 -1.64
18 14 -1.80
18 15 -2.29
18 16 -2.27
18 17 -2.16
18 18 -1.55
18 19 -0.59
18 20 -1.70
19 1 -1.95
19 2 -2.48
19 3 -3.36
19 4 -3.01
19 5 -3.37
19 6 -2.49
19 7 -2.69
19 8 -2.60
19 9 -1.31
19 10 -1.15
19 11 -1.31
19 12 -1.05
19 13 -1.21
19 14 -1.29
19 15 -1.68
19 16 -1.80
19 17 -1.35
19 18 -0.59
19 19 -0.12
19 20 -0.97
20 1 -3.07
20 2 -3.45
20 3 -4.25
20 4 -3.76
20 5 -4.20
20 6 -3.32
20 7 -3.73
20 8 -3.19
20 9 -2.03
20 10 -1.87
20 11 -1.90
20 12 -1.57
20 13 -1.53
20 14 -1.73
20 15 -1.33
20 16 -1.26
20 17 -2.25
20 18 -1.70
20 19 -0.97
20 20 -1.75
